w,n,m,p,u_sample,dist_type,utility,matching_utility,pct_above_matching,pct_above,max_miss,mean_miss_user_input_data_size,mean_miss_user_output_data_size,mean_miss_user_computation_demand,mean_miss_user_delay_tolerance,utility_greedy,matching_utility_greedy,pct_above_matching_greedy,pct_above_greedy,max_miss_greedy,mean_miss_user_input_data_size_greedy,mean_miss_user_output_data_size_greedy,mean_miss_user_computation_demand_greedy,mean_miss_user_delay_tolerance_greedy
2500,1562,6,50,5,uniform,2932.630522196888,93.08062069878176,0.0,11.587708066581307,0.9353135324937515,2362105.222222222,643301.4444444445,289.83017457738356,0.07675081379749207,2932.630522196888,93.08062069878174,0.0,11.587708066581307,0.9353135324937515,2362105.222222222,643301.4444444445,289.83017457738356,0.07675081379749207
2500,1562,6,50,5,normal,2887.595328023142,79.84361511170351,0.0,1.6005121638924455,0.8920282099014826,3263636.0,516494.0,423.0721978024601,0.03496597827394049,2887.595328023142,79.84361511170351,0.0,1.6005121638924455,0.8920282099014826,3263636.0,516494.0,423.0721978024601,0.03496597827394049
2500,1562,6,50,5,log-normal,2960.2028955684195,83.76511562155159,0.0,0.38412291933418696,0.14196745231845526,3459909.0,283851.0,391.2800242183752,0.44056234219388785,2960.2028955684195,83.7651156215516,0.0,0.38412291933418696,0.14196745231845526,3459909.0,283851.0,391.2800242183752,0.44056234219388785
2500,1562,6,50,5,exponential,3049.10730151723,136.98934730707987,0.0,22.40717029449424,0.9277398831773327,2664013.1428571427,336486.4285714286,129.86825416573546,0.14006786348133332,3049.10730151723,136.98934730707987,0.0,22.40717029449424,0.9277398831773327,2664013.1428571427,336486.4285714286,129.86825416573546,0.14006786348133332
2500,1562,6,50,5,beta,2976.9152854707554,96.27917395835328,0.0,17.477592829705507,0.804770223175243,1969047.4285714286,329972.28571428574,228.51659805171377,0.2547160646986014,2976.9152854707554,96.27917395835328,0.0,17.477592829705507,0.804770223175243,1969047.4285714286,329972.28571428574,228.51659805171377,0.2547160646986014
2500,1562,6,50,5,mixture,3013.926462787962,126.74878568505845,0.0,10.755441741357235,0.8416071125291599,2370994.888888889,281883.6666666667,269.9687206818778,0.33689829316455866,3013.926462787962,126.74878568505845,0.0,10.755441741357235,0.8416071125291599,2370994.888888889,281883.6666666667,269.9687206818778,0.33689829316455866
2500,1562,6,50,25,uniform,2963.8332173115427,114.0418553834094,0.0,11.7797695262484,0.9136727094467805,2180005.1428571427,430574.0,334.061011354774,0.14460375069570622,2963.8332173115427,114.04185538340941,0.0,11.7797695262484,0.9136727094467805,2180005.1428571427,430574.0,334.061011354774,0.14460375069570622
2500,1562,6,50,25,normal,2957.9573957452562,97.36597188324336,0.0,0.9603072983354674,0.686214619938186,2842051.3333333335,501434.0,300.535778194043,0.3617216462546451,2957.9573957452562,97.36597188324336,0.0,0.9603072983354674,0.686214619938186,2842051.3333333335,501434.0,300.535778194043,0.3617216462546451
2500,1562,6,50,25,log-normal,2916.229757733566,102.29108946437155,0.0,0.3201024327784891,0.22808600100345366,2345826.0,519722.5,261.74123270848753,0.7942640554559027,2916.229757733566,102.29108946437157,0.0,0.3201024327784891,0.22808600100345366,2345826.0,519722.5,261.74123270848753,0.7942640554559027
2500,1562,6,50,25,exponential,3051.377860872748,148.29656791729758,0.0,20.806658130601793,1.000805406749083,2210650.375,518237.125,114.44604672497294,0.08965600476679393,3051.377860872748,148.29656791729758,0.0,20.806658130601793,1.000805406749083,2210650.375,518237.125,114.44604672497294,0.08965600476679393
2500,1562,6,50,25,beta,2962.06048396868,111.99700492688443,0.0,15.941101152368757,0.8660245316848613,2339987.125,309042.875,209.42875482429943,0.3342227737130499,2962.06048396868,111.99700492688444,0.0,15.941101152368757,0.8660245316848613,2339987.125,309042.875,209.42875482429943,0.3342227737130499
2500,1562,6,50,25,mixture,2983.4430053426977,146.69443932301243,0.0,11.075544174135723,0.971545496394385,1591725.5,615856.5,173.12805290149507,0.19424097321558087,2983.4430053426977,146.69443932301243,0.0,11.075544174135723,0.971545496394385,1591725.5,615856.5,173.12805290149507,0.19424097321558087
2500,1562,6,50,50,uniform,2973.4080415604844,110.20237484755027,0.0,11.45966709346991,0.9869144144503006,1631174.0,597466.5,317.86476762006316,0.048149113697330756,2973.4080415604844,110.20237484755026,0.0,11.45966709346991,0.9869144144503006,1631174.0,597466.5,317.86476762006316,0.048149113697330756
2500,1562,6,50,50,normal,2909.2324465483507,80.43647409803638,0.0,1.088348271446863,0.7241208634835414,2469669.0,377262.0,275.4405406881175,0.2644392978053954,2909.2324465483507,80.43647409803638,0.0,1.088348271446863,0.7241208634835414,2469669.0,377262.0,275.4405406881175,0.2644392978053954
2500,1562,6,50,50,log-normal,2967.446223987925,116.88816418430096,0.0,0.704225352112676,0.22928816728521723,2229881.6666666665,484471.3333333333,273.59808641275407,0.736626399672705,2967.446223987925,116.88816418430096,0.0,0.704225352112676,0.22928816728521723,2229881.6666666665,484471.3333333333,273.59808641275407,0.736626399672705
2500,1562,6,50,50,exponential,3007.4288653781446,146.71157347264347,0.0,22.91933418693982,0.8920010950883814,1761563.6666666667,325591.3333333333,192.26693680613263,0.3152083920087983,3007.4288653781446,146.71157347264347,0.0,22.91933418693982,0.8920010950883814,1761563.6666666667,325591.3333333333,192.26693680613263,0.3152083920087983
